url	chapt_title	img_path
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-evaluating-your-customized-ai-tool.html	38 VIDEO: Evaluating your customized AI tool	resources/chapt_screen_images/video-evaluating-your-customized-ai-tool.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/evaluating-your-customized-ai-tool.html	39 Evaluating your customized AI tool	resources/chapt_screen_images/evaluating-your-customized-ai-tool.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/introduction-to-ai-policy.html	40 Introduction to AI Policy	resources/chapt_screen_images/introduction-to-ai-policy.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/building-a-team-to-guide-your-ai-use.html	41 Building a team to guide your AI use	resources/chapt_screen_images/building-a-team-to-guide-your-ai-use.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-building-a-team-to-guide-your-ai-use.html	42 VIDEO Building a team to guide your AI use	resources/chapt_screen_images/video-building-a-team-to-guide-your-ai-use.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/ai-acts-orders-and-policies.html	43 AI Acts, Orders, and Policies	resources/chapt_screen_images/ai-acts-orders-and-policies.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-ai-acts-orders-and-policies.html	44 VIDEO AI Acts, Orders, and Policies	resources/chapt_screen_images/video-ai-acts-orders-and-policies.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/other-laws-that-can-apply-to-ai.html	45 Other Laws That Can Apply to AI	resources/chapt_screen_images/other-laws-that-can-apply-to-ai.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-existing-laws-that-apply-to-ai.html	46 VIDEO Existing Laws That Apply to AI	resources/chapt_screen_images/video-existing-laws-that-apply-to-ai.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/considerations-for-creating-an-ai-policy.html	47 Considerations for creating an AI Policy	resources/chapt_screen_images/considerations-for-creating-an-ai-policy.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-title.html	48 VIDEO Title!	resources/chapt_screen_images/video-title.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/about-the-authors.html	About the Authors	resources/chapt_screen_images/about-the-authors.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/references.html	49 References	resources/chapt_screen_images/references.png
